YEAR,TOPS_CODE,TOSP_DESCRIPTION,TOSP_TABLE_NO,TOSP_COMMON_NAME,SETTING,WARD_TYPE,P25_BILL,P50_BILL,P75_BILL,P25_OPERATION_FEE,P50_OPERATION_FEE,P75_OPERATION_FEE,P25_SURGEON_FEE,P50_SURGEON_FEE,P75_SURGEON_FEE,P25_ANAESTHETIST_FEE,P50_ANAESTHETIST_FEE,P75_ANAESTHETIST_FEE,P25_FACILITY_FEE,P50_FACILITY_FEE,P75_FACILITY_FEE,P25_IMPLANT_FEE,P50_IMPLANT_FEE,P75_IMPLANT_FEE,P25_OTHER_FEE,P50_OTHER_FEE,P75_OTHER_FEE
2019,SA701S,"Skin and Subcutaneous Tissue, Tumor/Cyst/Ulcer/Scar, Excision biopsy, removal of 2 or more or recurrent or complicated (adherent), excision",2A,"Skin lesion, removal of tissue (multiple/recurrent/complex)",Private Hospitals/ Clinics,Clinics,"1,456","2,099","3,532","1,070","1,605","3,210",952,"1,284","2,534",0,0,0,0,0,634,-,-,-,300,443,624
2019,SA701S,"Skin and Subcutaneous Tissue, Tumor/Cyst/Ulcer/Scar, Excision biopsy, removal of 2 or more or recurrent or complicated (adherent), excision",2A,"Skin lesion, removal of tissue (multiple/recurrent/complex)",Private Hospitals/ Clinics,Day Surgery,"3,373","4,755","6,496","2,652","3,842","5,309","1,284","2,140","3,000",0,0,669,"1,152","1,456","1,899",n/a,n/a,n/a,618,868,"1,239"
2019,SA701S,"Skin and Subcutaneous Tissue, Tumor/Cyst/Ulcer/Scar, Excision biopsy, removal of 2 or more or recurrent or complicated (adherent), excision",2A,"Skin lesion, removal of tissue (multiple/recurrent/complex)",Public Hospitals/ Centres (Unsubsidised),Day Surgery (Unsubsidised),"1,181","1,471","1,657",856,"1,011","1,156",-,-,-,-,-,-,-,-,-,-,-,-,254,404,622
2019,SA701S,"Skin and Subcutaneous Tissue, Tumor/Cyst/Ulcer/Scar, Excision biopsy, removal of 2 or more or recurrent or complicated (adherent), excision",2A,"Skin lesion, removal of tissue (multiple/recurrent/complex)",Public Hospitals/ Centres (Subsidised),Day Surgery (Subsidised),425,478,564,268,276,326,-,-,-,-,-,-,-,-,-,-,-,-,140,182,274
2019,SA701S,"Skin and Subcutaneous Tissue, Tumor/Cyst/Ulcer/Scar, Excision biopsy, removal of 2 or more or recurrent or complicated (adherent), excision",2A,"Skin lesion, removal of tissue (multiple/recurrent/complex)",Public Hospitals/ Centres (Subsidised),Ward B2,672,907,"1,257",289,289,357,-,-,-,-,-,-,-,-,-,-,-,-,396,612,952
2019,SA701S,"Skin and Subcutaneous Tissue, Tumor/Cyst/Ulcer/Scar, Excision biopsy, removal of 2 or more or recurrent or complicated (adherent), excision",2A,"Skin lesion, removal of tissue (multiple/recurrent/complex)",Public Hospitals/ Centres (Subsidised),Ward C,594,802,"1,173",172,196,216,-,-,-,-,-,-,-,-,-,-,-,-,403,563,969
2019,SA701S,"Skin and Subcutaneous Tissue, Tumor/Cyst/Ulcer/Scar, Excision biopsy, removal of 2 or more or recurrent or complicated (adherent), excision",2A,"Skin lesion, removal of tissue (multiple/recurrent/complex)",Private Hospitals/ Clinics,Inpatient,"6,571","8,414","10,735","4,310","5,791","7,148","2,129","2,996","3,745",375,750,900,"1,691","2,131","2,715",-,-,-,"1,707","2,397","3,813"
2019,SA702S,"Skin and Subcutaneous Tissue, Tumor/Cyst/Ulcer/Scar, Excision biopsy, Lesion size more than 15mm in diameter",1B,"Skin lesion, removal of tissue (>1.5cm) ",Private Hospitals/ Clinics,Clinics,958,"1,501","3,338",535,"1,070","2,996",535,856,"1,498",n/a,n/a,n/a,n/a,n/a,n/a,-,-,-,297,396,546
2019,SA702S,"Skin and Subcutaneous Tissue, Tumor/Cyst/Ulcer/Scar, Excision biopsy, Lesion size more than 15mm in diameter",1B,"Skin lesion, removal of tissue (>1.5cm) ",Private Hospitals/ Clinics,Day Surgery,"3,068","4,143","5,226","2,377","3,223","4,257","1,156","1,926","2,140",0,0,450,"1,045","1,297","1,743",-,-,-,581,867,"1,116"
2019,SA702S,"Skin and Subcutaneous Tissue, Tumor/Cyst/Ulcer/Scar, Excision biopsy, Lesion size more than 15mm in diameter",1B,"Skin lesion, removal of tissue (>1.5cm) ",Public Hospitals/ Centres (Unsubsidised),Day Surgery (Unsubsidised),883,"1,014","1,270",513,577,670,-,-,-,-,-,-,-,-,-,-,-,-,324,398,611
