YEAR,PREVIOUS_YEAR,TOSP_CODE,TOSP_DESCRIPTION,TOSP_TABLE_NO,TOSP_COMMON_NAME,SETTING,WARD_TYPE,P25_BILL,P50_BILL,P75_BILL,P25_OPERATION_FEE,P50_OPERATION_FEE,P75_OPERATION_FEE,P25_SURGEON_FEE,P50_SURGEON_FEE,P75_SURGEON_FEE,P25_ANAESTHETIST_FEE,P50_ANAESTHETIST_FEE,P75_ANAESTHETIST_FEE,P25_FACILITY_FEE,P50_FACILITY_FEE,P75_FACILITY_FEE,P25_IMPLANT_FEE,P50_IMPLANT_FEE,P75_IMPLANT_FEE,P25_OTHER_FEE,P50_OTHER_FEE,P75_OTHER_FEE
2020,2019,SA701S,"Skin and Subcutaneous Tissue, Tumor/Cyst/Ulcer/Scar, Excision biopsy, removal of 2 or more or recurrent or complicated (adherent), excision",2A,"Skin lesion, removal of tissue (multiple/recurrent/complex)",Private Hospitals/ Clinics,Inpatient,"6,999","8,755","11,200","4,551","5,544","6,560","2,140","2,729","3,210",491,700,856,"1,533","2,171","2,694",n/a,n/a,n/a,"2,056","2,788","4,250"
2020,2019,SA701S,"Skin and Subcutaneous Tissue, Tumor/Cyst/Ulcer/Scar, Excision biopsy, removal of 2 or more or recurrent or complicated (adherent), excision",2A,"Skin lesion, removal of tissue (multiple/recurrent/complex)",Private Hospitals/ Clinics,Day Surgery,"3,512","4,748","6,120","2,726","3,785","4,804","1,338","2,140","2,800",0,0,600,"1,203","1,420","1,829",n/a,n/a,n/a,655,917,"1,274"
2020,2019,SA701S,"Skin and Subcutaneous Tissue, Tumor/Cyst/Ulcer/Scar, Excision biopsy, removal of 2 or more or recurrent or complicated (adherent), excision",2A,"Skin lesion, removal of tissue (multiple/recurrent/complex)",Private Hospitals/ Clinics,Clinics,"1,446","2,407","3,484","1,070","1,605","2,996",963,"1,177","2,140",0,0,0,0,0,901,-,-,-,352,492,831
2020,2019,SA701S,"Skin and Subcutaneous Tissue, Tumor/Cyst/Ulcer/Scar, Excision biopsy, removal of 2 or more or recurrent or complicated (adherent), excision",2A,"Skin lesion, removal of tissue (multiple/recurrent/complex)",Public Hospitals/ Centres (Unsubsidised),Day Surgery (Unsubsidised),"1,160","1,498","1,756",852,932,"1,188",-,-,-,-,-,-,-,-,-,-,-,-,277,456,664
2020,2019,SA701S,"Skin and Subcutaneous Tissue, Tumor/Cyst/Ulcer/Scar, Excision biopsy, removal of 2 or more or recurrent or complicated (adherent), excision",2A,"Skin lesion, removal of tissue (multiple/recurrent/complex)",Public Hospitals/ Centres (Subsidised),Ward B2,739,944,"1,166",277,289,378,-,-,-,-,-,-,-,-,-,-,-,-,451,612,850
2020,2019,SA701S,"Skin and Subcutaneous Tissue, Tumor/Cyst/Ulcer/Scar, Excision biopsy, removal of 2 or more or recurrent or complicated (adherent), excision",2A,"Skin lesion, removal of tissue (multiple/recurrent/complex)",Public Hospitals/ Centres (Subsidised),Ward C,603,751,"1,040",166,183,216,-,-,-,-,-,-,-,-,-,-,-,-,378,527,845
2020,2019,SA701S,"Skin and Subcutaneous Tissue, Tumor/Cyst/Ulcer/Scar, Excision biopsy, removal of 2 or more or recurrent or complicated (adherent), excision",2A,"Skin lesion, removal of tissue (multiple/recurrent/complex)",Public Hospitals/ Centres (Subsidised),Day Surgery (Subsidised),444,514,615,270,277,352,-,-,-,-,-,-,-,-,-,n/a,n/a,n/a,153,210,293
2020,2019,SA702S,"Skin and Subcutaneous Tissue, Tumor/Cyst/Ulcer/Scar, Excision biopsy, Lesion size more than 15mm in diameter",1B,"Skin lesion, removal of tissue (>1.5cm) ",Private Hospitals/ Clinics,Inpatient,"5,907","7,299","8,194","3,373","4,390","5,698","1,391","1,926","2,140",n/a,n/a,n/a,"1,394","1,933","2,964",-,-,-,"2,057","2,466","2,730"
2020,2019,SA702S,"Skin and Subcutaneous Tissue, Tumor/Cyst/Ulcer/Scar, Excision biopsy, Lesion size more than 15mm in diameter",1B,"Skin lesion, removal of tissue (>1.5cm) ",Private Hospitals/ Clinics,Day Surgery,"3,089","4,027","5,525","2,431","3,185","4,496","1,070","1,605","2,140",0,0,500,"1,126","1,379","1,927",n/a,n/a,n/a,608,894,"1,173"
2020,2019,SA702S,"Skin and Subcutaneous Tissue, Tumor/Cyst/Ulcer/Scar, Excision biopsy, Lesion size more than 15mm in diameter",1B,"Skin lesion, removal of tissue (>1.5cm) ",Private Hospitals/ Clinics,Clinics,"1,018","1,613","2,996",556,910,"2,274",535,910,"1,284",n/a,n/a,n/a,0,0,535,-,-,-,299,433,707
